Size,Bubble,Selection,Insertion,Quick,Merge,Heap
100,4.4e-05,2.1e-05,7e-06,2.2e-05,4.2e-05,1.1e-05
200,0.000185,4.5e-05,1.3e-05,2.4e-05,0.000117,4e-05
300,0.000393,8.9e-05,2.8e-05,3.5e-05,0.000124,3.8e-05
400,0.00078,0.000191,5.3e-05,5.3e-05,0.000414,5.4e-05
500,0.001117,0.000318,8.9e-05,8.1e-05,0.000298,8.5e-05
600,0.001787,0.000448,0.000137,9.4e-05,0.000378,0.000164
700,0.002145,0.000541,0.000135,8.1e-05,0.000421,0.000125
800,0.002153,0.000531,0.000152,8.3e-05,0.000313,9.1e-05
900,0.002456,0.000492,0.000189,7.7e-05,0.000289,7.9e-05
1000,0.002246,0.000488,0.000137,6.9e-05,0.000288,0.000177
1100,0.002678,0.000647,0.000169,7.4e-05,0.000282,8.4e-05
1200,0.00261,0.000552,0.000213,0.000154,0.000334,0.000164
1300,0.003026,0.000633,0.000251,0.0001,0.000341,9.9e-05
1400,0.004153,0.000791,0.000244,0.0001,0.000362,0.00011
1500,0.004142,0.001054,0.000205,0.000102,0.000952,0.000137
1600,0.00459,0.00123,0.000312,0.000113,0.000403,0.000124
1700,0.005782,0.001006,0.000433,0.000126,0.000495,0.000194
1800,0.006298,0.001093,0.00037,0.000134,0.000465,0.000145
1900,0.00747,0.0011,0.000397,0.000164,0.000462,0.000158
2000,0.00948,0.001336,0.000398,0.000159,0.000496,0.000184
